type:,Year,transmission:,odometer:,Model,VIN:,fuel:,drive:,Price,title status:,cylinders:,paint color:,condition:
pickup,2003,automatic,153000," Ford f-150
",,gas,rwd,16500,clean,8 cylinders,black,good
SUV,2016,automatic,112000," Infiniti QX60
",5N1AL0MM0GC520731,gas,4wd,9900,clean,6 cylinders,blue,good
sedan,2003,automatic,120084," Buick LeSabre Limited
",1G4HR54K83U233456,gas,,2700,clean,6 cylinders,brown,excellent
sedan,1962,manual,70000," volkswagen bug
",,gas,rwd,6000,clean,4 cylinders,white,good
wagon,2001,automatic,67175," ford focus se
",,gas,,3000,clean,,,
sedan,2002,automatic,164000," honda civic
",,gas,fwd,2100,clean,4 cylinders,white,good
SUV,1999,automatic,200000," Lincoln Navigator Base
",5LMPU28L0XLJ14482,gas,4wd,800,clean,8 cylinders,red,
pickup,2010,automatic,81000," ford f-150
",,gas,rwd,9900,clean,8 cylinders,silver,excellent
,2007,automatic,33000," lexus sc 430
",,gas,,12000,rebuilt,8 cylinders,,
van,2018,automatic,178654," chevrolet express 3500
",,gas,rwd,16990,clean,8 cylinders,white,excellent
truck,2003,automatic,291006," gmc sierra 1500
",,gas,rwd,4100,clean,6 cylinders,white,good
pickup,2008,automatic,150000," Nissan Titan
",1N6BA07D48N332016,gas,rwd,3500,clean,8 cylinders,silver,
SUV,2012,automatic,113000," jeep liberty sport
",,gas,fwd,5950,clean,6 cylinders,black,good
sedan,1999,automatic,177233," toyota camry le
",JT2BG22K9X0281670,gas,fwd,2999,clean,4 cylinders,grey,good
sedan,2023,automatic,20017," Acura TLX Technology
",,gas,,33900,clean,,black,excellent
truck,1947,manual,123," gmc 100
",,gas,rwd,27500,clean,6 cylinders,green,excellent
coupe,2010,automatic,119000," nissan altima
",,gas,rwd,3900,clean,6 cylinders,white,good
van,2017,automatic,90147," ford transit connect
",,gas,fwd,13500,clean,4 cylinders,white,like new
sedan,2016,automatic,52890," kia optima
",,gas,fwd,11200,clean,4 cylinders,silver,like new
minivan,2009,automatic,90338," nissan quest
",,gas,fwd,12500,clean,6 cylinders,grey,like new
